"Status";"Bestellnummer";"Name";"Notiz";"Produzent";"Herkunft";"Einheit";"Nettopreis";"MwSt";"Pfand";"Gebindegroeße";"geschu1";"geschu2";"Kategorie"
;41017;"Agria mittel mk 41017";;"Ruprecht";"Waldviertel";"1 kg";0,8;10;;10;;;"Erdäpfel"
;41022;"Ditta groÿ fk 41022";;"Ruprecht";"Waldviertel";"1 kg";0,8;10;;10;;;"Erdäpfel"
;41002;"Ditta klein fk 41002";;"Ruprecht";"Waldviertel";"1 kg";0,8;10;;10;;;"Erdäpfel"
;41012;"Ditta mittel fk 41012";;"Ruprecht";"Waldviertel";"1 kg";0,8;10;;10;;;"Erdäpfel"
;41042;"Maritza rotschalig mittel 41042";;"Ruprecht";"Waldviertel";"1 kg";0,85;10;;10;;;"Erdäpfel"
;22204;"Demeter Bionta vfk, 22204";;"Marksteine";"Waldviertel";"1 kg";1,25;10;;5;;;"Erdäpfel"
;22201;"Demeter Ditta 22201";;"Marksteine";"Waldviertel";"1 kg";1,25;10;;5;;;"Erdäpfel"
;7126;"Avanti groÿ vfk 7126";;"Nusser";"Waldviertel";"1 kg";0,8;10;;5;;;"Erdäpfel"
;7116;"Ditta groÿ fk 7116";;"Nusser";"Waldviertel";"1 kg";0,8;10;;5;;;"Erdäpfel"
;7112;"Heurige Ditta fk 7112";;"Nusser";"Waldviertel";"1 kg";1;10;;5;;;"Erdäpfel"
;7114;"Jelly groÿ mk 7114";;"Nusser";"Waldviertel";"1 kg";0,8;10;;5;;;"Erdäpfel"
;421406;"Kartoel rotschalig Laura 421406";;"Holzer";"Österreich";"1 kg";1,2;10;;2;;;"Erdäpfel-Raritäten"
;405507;"Apfel Arlet 405507";;"Bio-Obst";"Österreich";"1 kg";2,25;10;;4;;;"Früchte"
;405018;"Äpfel für Verarbeitung 405018";;"Bio-Obst";"Österreich";"1 kg";1,35;10;;4;;;"Früchte"
;405503;"Apfel Gala 405503";;"Bio-Obst";"Österreich";"1 kg";2,25;10;;4;;;"Früchte"
;405008;"Apfel Grän Goldach 405008";;"Bio-Obst";"Österreich";"1 kg";2,25;10;;4;;;"Früchte"
;405515;"Apfel Topaz 405515";;"Bio-Obst";"Österreich";"1 kg";2,25;10;;4;;;"Früchte"
;405512;"Birne Conference 405512";;"Bio-Obst";"Österreich";"1 kg";3,65;10;;4;;;"Früchte"
;405001;"Tafeläpfel Vielfaltkiste, Sorten 405001";;"Bio-Obst";"Österreich";"1 kg";2,05;10;;14;;;"Früchte"
;405518;"Wirtschaftsäpfel 405518";;"Bio-Obst";"Österreich";"1 kg";1,35;10;;4;;;"Früchte"
;422085;"Apfel Brünnerling (Weinapfel) 422085";;"Kreuzwies";"Österreich";"1 kg";2,25;10;;6;;;"Früchte"
;444196;"Apfel Topaz 444196";;"Biohandel";"Österreich";"1 kg";2,15;10;;6,5;;;"Früchte"
;430654;"Walnüsse 430654";;"Achleitner";"Österreich";"1 kg";8;10;;5;;;"getrocknete"
